"Year","Jurisdiction","Camera Fines","Camera Arrests","Camera Charges","Police Fines","Police Arrests","Police Charges","Other Fines","Other Arrests","Other Charges","Unknown Fines","Unknown Arrests","Unknown Charges","Total Fines"
"2008","NSW",590408,0,0,0,0,0,0,0,0,0,0,0,590408
"2008","NT",23865,0,0,0,0,0,0,0,0,0,0,0,23865
"2008","QLD",502886,0,0,0,0,0,0,0,0,0,0,0,502886
"2008","SA",119500,0,0,0,0,0,0,0,0,0,0,0,119500
"2008","TAS",59962,0,0,0,0,0,0,0,0,0,0,0,59962
"2008","VIC",1114036,0,0,0,0,0,0,0,0,0,0,0,1114036
"2008","WA",228822,0,0,0,0,0,0,0,0,0,0,0,228822
"2009","NSW",513616,0,0,0,0,0,0,0,0,0,0,0,513616
"2009","NT",19893,0,0,0,0,0,0,0,0,0,0,0,19893
"2009","QLD",475870,0,0,0,0,0,0,0,0,0,0,0,475870
"2009","SA",107676,0,0,0,0,0,0,0,0,0,0,0,107676
"2009","TAS",67768,0,0,0,0,0,0,0,0,0,0,0,67768
"2009","VIC",1136590,0,0,0,0,0,0,0,0,0,0,0,1136590
"2009","WA",254858,0,0,0,0,0,0,0,0,0,0,0,254858
"2010","ACT",58705,0,0,0,0,0,0,0,0,0,0,0,58705
"2010","NSW",390746,0,0,0,0,0,0,0,0,0,0,0,390746
"2010","NT",26775,0,0,0,0,0,0,0,0,0,0,0,26775
"2010","QLD",440622,0,0,0,0,0,0,0,0,0,0,0,440622
"2010","SA",91335,0,0,0,0,0,0,0,0,0,0,0,91335
"2010","TAS",37376,0,0,0,0,0,0,0,0,0,0,0,37376
"2010","VIC",1172460,0,0,0,0,0,0,0,0,0,0,0,1172460
"2010","WA",300344,0,0,0,0,0,0,0,0,0,0,0,300344
"2011","ACT",56719,0,0,0,0,0,0,0,0,0,0,0,56719
"2011","NSW",389649,0,0,0,0,0,0,0,0,0,0,0,389649
"2011","NT",24633,0,0,0,0,0,0,0,0,0,0,0,24633
"2011","QLD",588714,0,0,0,0,0,0,0,0,0,0,0,588714
"2011","SA",61859,0,0,0,0,0,0,0,0,0,0,0,61859
"2011","TAS",24427,0,0,0,0,0,0,0,0,0,0,0,24427
"2011","VIC",1151555,0,0,0,0,0,0,0,0,0,0,0,1151555
"2011","WA",558552,0,0,0,0,0,0,0,0,0,0,0,558552
"2012","ACT",54201,0,0,0,0,0,0,0,0,0,0,0,54201
"2012","NSW",432586,0,0,0,0,0,0,0,0,0,0,0,432586
"2012","NT",27730,0,0,0,0,0,0,0,0,0,0,0,27730
"2012","QLD",653679,0,0,0,0,0,0,0,0,0,0,0,653679
"2012","SA",54773,0,0,0,0,0,0,0,0,0,0,0,54773
"2012","TAS",7410,0,0,0,0,0,0,0,0,0,0,0,7410
"2012","VIC",1185037,0,0,0,0,0,0,0,0,0,0,0,1185037
"2012","WA",588746,0,0,0,0,0,0,0,0,0,0,0,588746
"2013","ACT",51948,0,0,0,0,0,0,0,0,0,0,0,51948
"2013","NSW",426904,0,0,0,0,0,0,0,0,0,0,0,426904
"2013","NT",24536,0,0,0,0,0,0,0,0,0,0,0,24536
"2013","QLD",762905,0,0,0,0,0,0,0,0,0,0,0,762905
"2013","SA",74391,0,0,0,0,0,0,0,0,0,0,0,74391
"2013","TAS",7517,0,0,0,0,0,0,0,0,0,0,0,7517
"2013","VIC",1015986,0,0,0,0,0,0,0,0,0,0,0,1015986
"2013","WA",543491,0,0,0,0,0,0,0,0,0,0,0,543491
"2014","ACT",45120,0,0,0,0,0,0,0,0,0,0,0,45120
"2014","NSW",468465,0,0,0,0,0,0,0,0,0,0,0,468465
"2014","NT",22871,0,0,0,0,0,0,0,0,0,0,0,22871
"2014","QLD",1004090,0,0,0,0,0,0,0,0,0,0,0,1004090
"2014","SA",100562,0,0,0,0,0,0,0,0,0,0,0,100562
"2014","TAS",9250,0,0,0,0,0,0,0,0,0,0,0,9250
"2014","VIC",1307924,0,0,0,0,0,0,0,0,0,0,0,1307924
"2014","WA",711518,0,0,0,0,0,0,0,0,0,0,0,711518
"2015","ACT",50640,0,0,0,0,0,0,0,0,0,0,0,50640
"2015","NSW",486571,0,0,0,0,0,0,0,0,0,0,0,486571
"2015","NT",24928,0,0,0,0,0,0,0,0,0,0,0,24928
"2015","QLD",1076622,0,0,0,0,0,0,0,0,0,0,0,1076622
"2015","SA",85282,0,0,0,0,0,0,0,0,0,0,0,85282
"2015","TAS",15220,0,0,0,0,0,0,0,0,0,0,0,15220
"2015","VIC",1306201,0,0,0,0,0,0,0,0,0,0,0,1306201
"2015","WA",752276,0,0,0,0,0,0,0,0,0,0,0,752276
"2016","ACT",55750,0,0,0,0,0,0,0,0,0,0,0,55750
"2016","NSW",494676,0,0,0,0,0,0,0,0,0,0,0,494676
"2016","NT",22239,0,0,0,0,0,0,0,0,0,0,0,22239
"2016","QLD",659305,0,0,0,0,0,0,0,0,0,0,0,659305
"2016","SA",182856,0,0,0,0,0,0,0,0,0,0,0,182856
"2016","TAS",15977,0,0,0,0,0,0,0,0,0,0,0,15977
"2016","VIC",1266642,0,0,0,0,0,0,0,0,0,0,0,1266642
"2016","WA",567954,0,0,0,0,0,0,0,0,0,0,0,567954
"2017","ACT",52913,0,0,0,0,0,0,0,0,0,0,0,52913
"2017","NSW",478004,0,0,253949,0,0,0,0,0,0,0,0,731953
"2017","NT",22556,0,0,0,0,0,0,0,0,0,0,0,22556
"2017","QLD",733717,0,0,0,0,0,0,0,0,0,0,0,733717
"2017","SA",162804,0,0,0,0,0,0,0,0,0,0,0,162804
"2017","TAS",13095,0,0,0,0,0,0,0,0,0,0,0,13095
"2017","VIC",1220180,0,0,0,0,0,0,0,0,0,0,0,1220180
"2017","WA",646380,0,0,107803,0,0,0,0,0,0,0,0,754183
"2018","ACT",66449,0,0,0,0,0,0,0,0,0,0,0,66449
"2018","NSW",444372,0,0,237017,0,0,0,0,0,0,0,0,681389
"2018","NT",27639,0,0,9813,0,0,0,0,0,0,0,0,37452
"2018","QLD",859691,0,0,161732,0,0,0,0,0,0,0,0,1021423
"2018","SA",174731,0,0,0,0,0,0,0,0,0,0,0,174731
"2018","TAS",8609,0,0,0,0,0,0,0,0,0,0,0,8609
"2018","VIC",1600565,0,0,0,0,0,0,0,0,0,0,0,1600565
