"Year","Camera issued fines","Police issued fines","Other fines","Unknown fines"
"2008",2639479,,,
"2009",2576271,,,
"2010",2518363,,,
"2011",2856108,,,
"2012",3004162,,,
"2013",2907678,,,
"2014",3669800,,,
"2015",3797740,,,
"2016",3265399,,,
"2017",3329649,361752,,
"2018",3755720,524096,,
"2019",3210890,485840,,
"2020",3290365,483108,,
"2021",4457782,409356,,
"2022",4060444,490898,,
"2023",3692430,543699,4,0
"2024",2779244,544087,1,1
